sentence_id,Someone,somewhere,title,article_link,Someone_first_index,Someone_last_index,somewhere_first_index,somewhere_last_index,sentence_text,paragraph_text,url
13214,He,University College,Buckston Browne,https://en.wikipedia.org/wiki?curid=4629934,0,0,4,5,He was educated at University College London .,"Browne was born in Manchester, the son of physician Dr. Henry Browne. He was educated at University College London.",https://en.wikipedia.org/wiki?curid=4629934
16128,who,Britain,Margaret Mercer Elphinstone,https://en.wikipedia.org/wiki?curid=39112389,26,26,31,31,"On 20 June 1817 , at Edinburgh , Margaret married Charles Joseph , comte de Flahaut , aide - de - camp to Napoleon Bonaparte , who had been educated in Britain , where he took refuge during the Bourbon Restoration .","On 20 June 1817, at Edinburgh, Margaret married Charles Joseph, comte de Flahaut, aide-de-camp to Napoleon Bonaparte, who had been educated in Britain, where he took refuge during the Bourbon Restoration. The countess held a prominent place in society since her husband held office under Louis-Philippe and later under Napoleon III, and was ambassador at Vienna, and (1860) to the Court of St. James's (London), and finally resided at Paris as Grand Chancellor of the Légion d'honneur. The countess, who was one of the lady patronesses of Almack's and who was a prominent member of polite society, took part in all his social and political work. She was a prolific and perspicacious letter writer, and much of her correspondence is held in the Archives nationales, Paris.",https://en.wikipedia.org/wiki?curid=39112389
21536,she,home,Martha Fowke,https://en.wikipedia.org/wiki?curid=49885276,15,15,19,19,"Born in Hertfordshire on 1 May 1689 to a family of Roman Catholic gentry , she was educated at home and at boarding school .","Martha Fowke, later Martha Sansom, (1 May 1689 – 1736) was an English poet associated chiefly with the circle about Aaron Hill. She was the daughter of Major Thomas Fowke and his wife Mary (née Cullen). Born in Hertfordshire on 1 May 1689 to a family of Roman Catholic gentry, she was educated at home and at boarding school. Her mother was less supportive of her daughter's writing than her father. Fowke lived in London after her mother died in 1705 but moved to East Anglia in 1730 with her husband, Arnold Sansom, whom she had married around 1721. Their marriage was not happy.",https://en.wikipedia.org/wiki?curid=49885276
23728,he,Harbour Grace,George Sweeney (politician),https://en.wikipedia.org/wiki?curid=26018834,4,4,8,9,"Born in Carbonear , he was educated in Harbour Grace and at the Carbonear District Vocational School .","Born in Carbonear, he was educated in Harbour Grace and at the Carbonear District Vocational School. Before entering politics, Sweeney was an electrician and a community college instructor. He served as government whip and was a member of the provincial cabinet, serving as Minister of Government Services and Lands.",https://en.wikipedia.org/wiki?curid=26018834
26499,Bruford,Thorn Park School,Robert Bruford,https://en.wikipedia.org/wiki?curid=31441804,15,15,19,21,"The son of a farmer and Justice of the Peace also named Robert Bruford , Bruford was educated at Thorn Park School in Teignmouth and Fullands School in Taunton , but went to work on the farm and in the brewery business owned by the family at an early age .","The son of a farmer and Justice of the Peace also named Robert Bruford, Bruford was educated at Thorn Park School in Teignmouth and Fullands School in Taunton, but went to work on the farm and in the brewery business owned by the family at an early age. He assumed full control of the business in 1896. At the Bath and West of England Agricultural Show in Newport, Monmouthshire in June 1907, his two-year-old bull 'Pound Bellringer' was reckoned the leader in its class, and he won prizes in other years as well. As with many farms in the area, the family held a farm tenancy rather than owning the land themselves. Bruford became a Director of the Taunton Gas Company Ltd, and of the West Somerset Bacon and Dairy Company Ltd.",https://en.wikipedia.org/wiki?curid=31441804
31052, ,the University of Prague,William Taussig,https://en.wikipedia.org/wiki?curid=31442257,1,1,5,8,"He
 was educated at the University of Prague , and after completing
 the classical course , turned his attention
 to the study of medicine , devoting himself
 chiefly to chemistry .","Taussig was born in the city of Prague, the third city of the Austrian Empire, and the commercial and manufacturing center of Bohemia. He was educated at the University of Prague, and after completing the classical course, turned his attention to the study of medicine, devoting himself chiefly to chemistry. In 1847, he emigrated to the United States, and for a year was employed in New York City as an analytical chemist.",https://en.wikipedia.org/wiki?curid=31442257
31552,She,private teachers,Harriet Williams Russell Strong,https://en.wikipedia.org/wiki?curid=25570052,0,0,4,5,"She was educated by private teachers and at Young Ladies Seminary at Benicia , California .","Harriet Williams Russell was born in Buffalo, New York, fourth daughter of Henry Pierrepont and Mary Guest (Musier) Russell. She was educated by private teachers and at Young Ladies Seminary at Benicia, California.",https://en.wikipedia.org/wiki?curid=25570052
31596,He,Kilkenny College,"Sir Edward Loftus, 1st Baronet",https://en.wikipedia.org/wiki?curid=45351942,0,0,4,5,He was educated at Kilkenny College .,"Loftus was the illegitimate son of Nicholas Loftus, 1st Viscount Loftus by a woman with the surname of Phillips. He was educated at Kilkenny College. Loftus served as the Member of Parliament for Jamestown in the Irish House of Commons between 1761 and 1768. On 16 July 1768, he was created a baronet, of Mount Loftus in the Baronetage of Ireland. He was High Sheriff of Tyrone in 1777 and High Sheriff of Wexford in 1784.",https://en.wikipedia.org/wiki?curid=45351942
32183,He,Shrewsbury School,John Sayer (cricketer),https://en.wikipedia.org/wiki?curid=60238962,0,0,4,5,"He was educated at Shrewsbury School , before enlisting in the Royal Navy as part of the Fleet Air Arm .","Sayer was born at Hong Kong. He was educated at Shrewsbury School, before enlisting in the Royal Navy as part of the Fleet Air Arm. He served during the Second World War in 811 Squadron, flying Fairey Swordfish in mining and torpedo operations against German occupied ports in Belgium, France and the Netherlands. He was based firstly at RNAS Lee-on-Solent, before moving to RAF Thorney Island. He later served aboard in November 1942, from which he flew anti-U-boat missions during the Battle of the Atlantic, with Sayer piloting Vought Chesapeake dive bombers in 1943. Later in 1943, he undertook duties as an air gunnery officer, which lasted until 1945. Shortly after the war, he served aboard in the Mediterranean aboard the light aircraft carrier , flying the Fairey Firefly.",https://en.wikipedia.org/wiki?curid=60238962
33028,He,Eton,"Edward Bridges, 1st Baron Bridges",https://en.wikipedia.org/wiki?curid=3327763,0,0,4,4,"He was educated at Eton and Magdalen College , Oxford .","Bridges was born on 4 August 1892 in Yattendon in Berkshire. He was the son of Robert Bridges, later Poet Laureate, and Mary Monica Waterhouse, daughter of the architect Alfred Waterhouse. He was educated at Eton and Magdalen College, Oxford.",https://en.wikipedia.org/wiki?curid=3327763
34937,He,Cleveland Institute of Music,Dennis Eberhard,https://en.wikipedia.org/wiki?curid=14525754,0,0,4,7,"He was educated at Cleveland Institute of Music , Kent State University , the University of Illinois at Urbana – Champaign and the Chopin Institute in Warsaw , Poland .","He was educated at Cleveland Institute of Music, Kent State University, the University of Illinois at Urbana–Champaign and the Chopin Institute in Warsaw, Poland. His teachers included: Marie Martin, Frederic Coulter, Salvatore Martirano, Wlodzimierz Kotonski, Gordon Momma and Herbert Brün.",https://en.wikipedia.org/wiki?curid=14525754
36984,He,high school,Howard Johnson (lyricist),https://en.wikipedia.org/wiki?curid=539840,0,0,4,5,He was educated in high school and in private music study .,"Songwriter, author and lyricist, Johnson was born in Waterbury, Connecticut, and died in New York, New York. He was educated in high school and in private music study. Johnson was a pianist in Boston theatres, and then a staff writer for a New York publishing company. During World War I, he served in the United States Navy.",https://en.wikipedia.org/wiki?curid=539840
37765,He,Millfield,Christopher Hellings,https://en.wikipedia.org/wiki?curid=61702370,0,0,4,4,"He was educated at Millfield , before going up to Loughborough University to study mechanical engineering .","Hellings was born at Taunton in January 1980. He was educated at Millfield, before going up to Loughborough University to study mechanical engineering. While studying at Loughborough, he made a single first-class appearance for the British Universities cricket team against the touring New Zealanders at Oxford in 1999. Batting twice in the match, he was run out in the British Universities first-innings for 13 runs, while in their second-innings he was dismissed for the same score by Nathan Astle. After graduating from Loughborough, he worked for Credit Suisse, before founding the consultancy company Bailrigg+.",https://en.wikipedia.org/wiki?curid=61702370
37834,He,Felsted School,C. V. Durell,https://en.wikipedia.org/wiki?curid=11908350,0,0,4,5,"He was educated at Felsted School and Clare College , Cambridge ( 1900–1904 ) , where he gained a first class in part two of the mathematics tripos and was seventh wrangler .","A son of John Vavasor Durell (1837–1923), Rector of Fulbourn, Cambridgeshire, and his wife Ellen Annie Carlyon, Durell had four older brothers. He was educated at Felsted School and Clare College, Cambridge (1900–1904), where he gained a first class in part two of the mathematics tripos and was seventh wrangler.",https://en.wikipedia.org/wiki?curid=11908350
