sentence_id,main_sentence,labels
343108,"ודוק: גם לפי ניסיון החיים השיפוטי, גירסתה דלעיל של המתלוננת בדבר היכרותה כחסרת דיור עם גברים שאמרו שיעזרו לה ולבסוף ניצלו אותה מינית, היא למרבה הצער אפשרית ומציאותית.",4
343108,"86.	אמנם, עדותה של המתלוננת בבית המשפט הייתה לקונית ולעתים בלתי ברורה.",3
239327323,"ראשית, עדותה של המתלוננת בעייתית, שכן אין זה מובן מדוע התביישה משותפתה לדירה, שמא זו תראה את הקונדום.",3
239327323,"6.	לאחר עדותה המוקדמת של המתלוננת, ביקש הנאשם לתקן את תשובתו לאישום.",0
304874,"27.	כבר בפתח דבר ראוי לציין, כי – ולהבדיל מעדותה ביחס לאירועים נשוא האישום הראשון והשני – עדותה הראשית (הראשונה) של המתלוננת, ביחס לאירועים נשוא האישום השלישי, בו קא עסקינן עתה, לא היתה סדורה, כולי האי, במובן זה שבה, בלבד, לא היה כדי לבסס את כל המעשים המיוחסים לנאשם באישום זה.",3
404466,"אכן עדותה של המתלוננת בביהמ""ש אינה מאורגנת ומסודרת, לא תמיד מתוארים הארועים בסדר כרונולוגי ואף לא ברורים המעברים מארוע אחד למשנהו.",5
977739027,"מעיון בנ/1 ניתן ללמוד שהמתלוננת מסרה בביהמ""ש גירסה דומה ועקבית בדיוק כמו שמסרה באימרתה במשטרה.",4
257350,"מצאתי כי גרסת המתלוננת באשר להשתלשלות האירוע הרביעי מהימנה ונתמכת בראיות חיצוניות, בשונה מגרסת הנאשם המופרכת על פניה, לה לא נתתי כל אמון.",2
768639,"המאשימה טענה כי אל מול גרסתה העקבית והמהימנה של המתלוננת, הנתמכת בעדויות רבות נוספות, לרבות עדויות מומחים, אנשי מקצוע ואנשי משטרה, עומדת גרסתו של הנאשם לבדה.",0
141748,"14.	לטענתו כאילו אין גירסתה של המתלוננת מהימנה משום שלא הרימה קול צעקה, או משום שלא התקשרה מיד למשטרה לאו טענה היא בנסיבות.",1
196251,"מכלול קשיים אלה בהצטברותם אל חוסר התייחסותו המפורטת של הנאשם, בחקירתו במשטרה, לאירוע הנטען, ולאור הקושי ליתן בו אמון בכלל, מהנימוקים שפירטתי לעיל, אל מול גרסתם הקוהרנטית והמובנית בתוך הקונטקסט, של המתלוננים, מכריעים את הכף לעבר העדפת גרסת המתלוננים על פני גרסת הנאשם.",0
633015,1.	עדותה הגרעינית של הילדה עקבית ומדוייקת בהזדמנויות שבהן ניתן לה לפרטה.,1
48382,"במקרה דנן עניין לנו בעבירות מין, עבירות שמעצם טיבן וייחודן מתבצעות בדרך כלל בצנעה, רחוק מהעין, בנוכחות העבריין וקורבנו בלבד ועל כן, כל מה שיש בפני בית המשפט הן עדויות קוטביות של המתלונן כנגד הנאשם (ראה  מסילתי נ' מ""י, דינים עליון, כרך ט, פסקה 4 ו גנדור נ' מ""י, דינים עליון, כרך ט, פסקה 5).",2
467504,57.	עדות המתלוננת הייתה נקייה מסימני רצון לפגוע בנאשם או לנקום בו.,4
812461,"בנוסף, לא מצאנו בסיס שלא לקבל את ההסברים שסיפקה לכך המתלוננת בעדותה, לפיהם סמוך למקרה האונס, מערכת היחסים שלה עם בילאל הייתה רק בתחילתה ולכן נמנעה מלפרט בעניין.",1
633015,"לא נעלמה מעיני העובדה שמדובר בהרשעה על סמך עדות יחידה של המתלוננת, אך חרף זאת מצאתי שניתן להסתפק בעדות זו לצורך הרשעה.",5
900987495,"אפנה עתה ואבחן את גרסתה הראשונית של המתלוננת כפי שבאה לידי ביטוי בהודעתה הראשונה מיום 12/02/08 (ת/13 ות/13א') בפני חוקרת הילדים, הגב' יפעת פולק - כהן.",3
900987495,43.	עדותה של המתלוננת בבית המשפט עשתה רושם מהימן ביותר.,1
308519,"לעומת גרסתה המהימנה, הסבירה והוודאית של המתלוננת, הסתבך הנאשם בשלושה שקרים מהותיים.",0
368925,מדברי חוקרת הילדים עלה כי עדות המתלוננת הגיונית ועקבית וכללה פרטים ייחודיים וסנסוריים המלמדים על אמיתותה.,1
28585,"מה גם, שכאמור, עדותה האמינה של המתלוננת גם לגבי נגיעת הנאשם בעכוזה, די בה גם לענין זה.",4
360749,"12. 	מבחינת העדויות ניתן ללמוד כי מלבד העובדה שהמתלוננת הותירה רושם אמין, ולא חזרה בה מגירסתה לגבי ההתרחשויות ולגבי מה שאירע בינה לבין הנאשם, היא גם לא הגזימה ולא העצימה את הפרטים ודבקה בגירסתה כפי שהיא לכל אורך הדרך.",4
429650,"יש להוסיף עוד, כי עדות המתלוננת בנקודה זו ברורה לחלוטין.",1
777994073,"גרסת המתלוננת הייתה אמינה, וניתן היה להתרשם מתמימותה, חרף גילה הבוגר.",0
178486,"גרסת המתלוננת הייתה אמינה, וניתן היה להתרשם מתמימותה, חרף גילה הבוגר.",2
178486,"מצאתי כי גרסת המתלוננת באשר להשתלשלות האירוע הרביעי מהימנה ונתמכת בראיות חיצוניות, בשונה מגרסת הנאשם המופרכת על פניה, לה לא נתתי כל אמון.",0
637608,"עדותו הנ""ל של המתלונן היתה מבולבלת, מתחמקת, בלתי ברורה לא  עקבית כלל.",3
53473,הלכה פסוקה היא כי אם עדותה של מתלוננת בעבירות מין אינה מושלמת – אין פירושו של דבר שהיא אינה שלמה.,5
53473,"ניתן להרשיע בעבירות מין גם על בסיס עדות יחידה של מתלוננת הגם שנדרשת הנמקה ( ל [נוסח חדש] תשל""א-1971; ע""פ  נור נ' מדינת ישראל, נו(6) 205 (2002);  גנדור נ' מדינת ישראל, מב(4) 045 (1988);  פלוני נ' מדינת ישראל (01.09.2009)).",0
62184,2.	המתלוננת ככלל הותירה רושם אמין.,5
168695,"106.	עדותה של המתלוננת נמשכה על פני ישיבות רבות, במהלכן הופסקה העדות פעמים רבות.",4
339635,"במקרה דנן, גם אם שיקר הנאשם בכך שהכחיש בחקירתו כל מעשה אלימות מלבד האירוע מושא האישום העשירי, אפשר כי הדבר נועד למנוע את הסתבכותו בעבירות שלא ביצע, קרי במסכת הקשה של עבירות אינוס, אלימות וכליאת שווא, כנטען בגרסתה המאוחרת של המתלוננת בחקירה.",3
73396,"מצאתי כי גרסת המתלוננת באשר להשתלשלות האירוע הרביעי מהימנה ונתמכת בראיות חיצוניות, בשונה מגרסת הנאשם המופרכת על פניה, לה לא נתתי כל אמון.",2
553922,"אקדים ואומר כי המתלוננות עשו עליי רושם מהימן בעת מתן העדות במהלך שמיעת הראיות, כשהעידו את שאירע בין כותלי הבית, חרף הקושי העצום שניכר עליהן במתן העדות, שאי אפשר שלא להיווכח בו.",1
103564,"מנגד, גרסת המתלוננות מהימנה, קוהרנטית, הגיונית ונתמכת בחיזוקים חיצוניים.",0
117945,"106.	עדותה של המתלוננת נמשכה על פני ישיבות רבות, במהלכן הופסקה העדות פעמים רבות.",1
307857,ניתנת האמת להיאמר – גירסתה של המתלוננת בענין זה היא מבולבלת ולא אחידה.,3
155844,עדותה של המתלוננת לעניין פרט אישום זה אינה אמינה בעיני.,3
519158,שוכנעתי כי עדות המתלוננת מהימנה ומשקפת את שאירע בפועל לגבי כל אחת מהעובדות המפורטות בכתב האישום ואף נתמכת במארג העדויות מטעם התביעה.,2
737223,"בניגוד לעדותו של הנאשם, עדותה של המתלוננת היתה עיקבית והיא תיארה את מערכת היחסים עם הנאשם באופן ברור, הגם שהודתה כי הוא לא פעל נגד רצונה, וכי היתה זקוקה לתמיכתו ולקשר עמו מבחינה נפשית.",1
464621,"בענייננו נראה לי שלא היה זה בטוח להשתית את הרשעת המערער על עדותה היחידה של המתלוננת, הלוקה כאמור, בסתירות ובתמיהות.",3
792440,"בנוסף, איננו רואים באי-אזכורו של דהן כמי שסיפרה לו על חוויית האונס, אלא לראשונה בהליכים אלו (ולא בפני המשטרה בשנת 2005), כעדות כבושה של המתלוננת.",1
354881,"גרסתה המיידית של המתלוננת תואמת את עדותה, ובעת שמסרה את תלונתה המיידית לא ידעה כי שיחתה הוקלטה.",4
655164,"לאור האמור, איני סובר, כי גרסת המתלוננת הינה עקבית, או שהיא הקפידה לדייק בפרטים.",3
663625,39.	המתלוננת א' עשתה עלי רושם אמין.,2
524099,"39.לפיכך, מסקנתי היא שעל אף שאני נוטה ליתן אמון בגרסתה הבסיסית של המתלוננת לפיה הנאשם אכן נישק אותה על שפתיה וליטף את גבה, הרי שלא שוכנעתי כי ניתן לקבוע את המסקנה האמורה מעבר לספק סביר.",3
