sentence_id,תיאור,title,sentence_text,query number
7961,מקובלת על אני,s01777,"גירסה של היא של ה מתלוננת , ב עיקרה , ב כל ה קשור ל אירוע אשר התרחש ב צומת קסטינה , מקובלת על אני .",1.0
25524,אינה נקייה מ זיהומים שונים,SH-10-11-34300-792,"ל כך מתווסף ה חשש כי עדות של היא ה ראשונית של ה מתלוננת אינה נקייה מ זיהומים שונים זאת ניתן ללמוד מ כך ש ה מתלוננת נמצאה על ידי אח של היא ב בית של הוא של ה נאשם , ו ככל ה נראה עקב צעקה של היא של אח של היא , למדה ה מתלוננת מיד כי מה ש ארע הינו פסול ו אסור ו בעקבות ה צעקות של אח של היא על ה נאשם בחרה לספר כי ה נאשם הוא זה ש פגע ב היא .",1.0
48229,"טענה של הוא , גירסה של היא של ה מתלוננת ש העידה כי נכנסה ל חדר ש ב הוא היה נוכח בכדי לנטרל את ה אזעקה , אינה הגיונית",s02005082-239,"ל טענה של הוא , גירסה של היא של ה מתלוננת ש העידה כי נכנסה ל חדר ש ב הוא היה נוכח בכדי לנטרל את ה אזעקה , אינה הגיונית משום ש מערכת ה אזעקה חולשת על כל ה מתחם ו לכן לא יכול להיות מצב ש ימצא מישהו ב חדר מבלי ש ה אזעקה תפעל .",1.0
53595,מעניין מ מספר היבטים,ME-12-10-2187-137,"תיאור של היא של ה מתלוננת את רגע ה סיום של אירוע ה ליבה ו הפסקת ה חדירה ל תוכה , מעניין מ מספר היבטים .",1.0
54677,עקבית,m98326a,"לעמדתי , גירסה של היא של ה מתלוננת קוהרנטית , עקבית , הגיונית ו משכנעת .",1.0
61202,כשרה,m06003037,"ו ביתר פירוט : ל , ה תשט""ו - 1955 קובע כי אמנם עדות של היא של ה מתלוננת בפני חוקרת ה ילדים כשרה להתקבל כ ה ראיה , אלא ל חוק זה קובע כי :",1.0
61219,ימנות עדות של הוא של ה מתלונן גבוהה,m06003037,"כך , מקום ש מ ה ימנות עדות של הוא של ה מתלונן גבוהה היא ניתן להסתפק ב ראיית סיוע בעלת משקל לא רב ו להיפך ( מדינת ישראל נ' פלוני , פ""ד מז ( 1 ) 292 , 302 ) .",1.0
61323,ימנות עדות של הוא של ה מתלונן גבוהה,m06003037,"כן אמרנו כי מקום ש מ ה ימנות עדות של הוא של ה מתלונן גבוהה היא ניתן להסתפק ב ראיית סיוע ב עלת משקל לא רב ( פרשת פלוני , לעיל ) .",1.0
69955,מקובלת,ME-91-342-HK,"סיכום של הוא של דבר , גרסה של היא של ה מתלוננת לגבי ה מעשים ש נאשם 3 ביצע כלפי היא ב עת ש היו יחד ב חדר , מקובלת ו מ הימנת על אני .",1.0
70350,מהימנה,ME-12-09-33735-44,עדות של היא של ה מתלוננת מהימנה ו יש להעדיף את היא על פני עדות של הוא של ה נאשם .,1.0
70365,גיונית,ME-12-09-33735-44,"עדות של היא של ה מתלוננת אמינה , עקבית ו ה גיונית , עדות אשר יש ל היא חיזוקים מ עדים שונים , מ ראיות נוספות ו מכוונים שונים .",1.0
71138,מהימנה,ME-12-09-33735-44,"לאחר שמיעת ה עדויות ו לאור מכלול ה ראיות , הגעתי ל כלל מסקנה כי עדות של היא של ה מתלוננת מהימנה ו אני מעדיפה את היא על פני עדות של הוא של ה נאשם .",1.0
