sentence_id,תיאור,title,sentence_text,query number,tagger,status,label,label2,start_ind,end_ind,mental_state,clean_sentence
1646536,"חדה , ברורה ו עקבית , לאורך כל חקירה של היא",ME-10-07-21310-4,"למעלה מ כך , גרסת ה מתלוננת ב עניין זה , הייתה חדה , ברורה ו עקבית , לאורך כל חקירה של היא ו אף ב עדות של היא ב פנין של הוא , ו התנגדות של היא ל מעשי ה נאשם ב היא , החל מ ה מגע ה ראשוני , הוכחה ב פנין של הוא .",7.0,dana,annotated,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",,483.0,484.0,No,"למעלה מכך, גרסת המתלוננת בעניין זה, הייתה חדה, ברורה ועקבית, לאורך כל חקירותיה ואף בעדותה בפנינו, והתנגדותה למעשי הנאשם בה, החל מהמגע הראשוני, הוכחה בפנינו"
419985,נוספת,m98000923-197,"כלומר , ה גירסה ש סיפרה מיקה כאילו נמסרה מ פי ה מתלוננת , איננה יכולה להחשב ל ה גירסה נוספת של ה מתלוננת , כפי ש ה סניגור ייחס ל היא שוב ו שוב ב סיכום של הוא , שכן אין זו גירסה של היא של ה מתלוננת , אלא גירסה "" משופצת "" , אם תרצה "" מנופחת "" , של מיקה .",5.0,dana,annotated,not relevant,,374.0,375.0,No,"כלומר, הגירסה שסיפרה מיקה כאילו נמסרה מפי המתלוננת, איננה יכולה להחשב לגירסה נוספת של המתלוננת, כפי שהסניגור ייחס לה שוב ושוב בסיכומיו, שכן אין זו גירסתה של המתלוננת, אלא גירסה ""משופצת"", אם תרצה ""מנופחת"", של מיקה"
70350,מהימנה,ME-12-09-33735-44,עדות של היא של ה מתלוננת מהימנה ו יש להעדיף את היא על פני עדות של הוא של ה נאשם .,1.0,dana,annotated,אמינה בגלל שהנאשם לא אמין,,17.0,20.0,No,עדותה של המתלוננת מהימנה ויש להעדיף אותה על פני עדותו של הנאשם
146293,אמינה על אני,s021336a,גירסה של הוא של ה מתלונן היתה אמינה על אני ו נמצאו ל היא ראיות מסייעות ו מחזקות .,5.0,dana,annotated,אמינה בגלל חיזוק חיצוני,,211.0,214.0,No,17.	גירסתו של המתלונן היתה אמינה עלי ונמצאו לה ראיות מסייעות ומחזקות
1561688,אחרת,m06003042-275,"ל ה עניין גביית עדות קטינה על ידי חוקרת ילדים ו ה אפשרות כי תשמש ראיית סיוע עדות קטינה אחרת אשר אף היא נגבתה בידי חוקרת ילדים , אפנה ל נאמר ב :",7.0,dana,annotated,not relevant,,452.0,453.0,No,"לעניין  גביית עדות  קטינה על ידי חוקרת ילדים והאפשרות כי תשמש ראיית סיוע עדות קטינה אחרת אשר אף היא נגבתה בידי חוקרת ילדים, אפנה לנאמר ב:"
350974,יחידה,ME-09-1010-27,"נוכח סיטואציה ראייתית זו מתבקשת ה מסקנה , כי לא די ב עדות של היא ה יחידה של ה מתלוננת , לבדה , כדי לבסס הרשעה ו נדרשת מידה מסוימת של חיזוק חיצוני כדי לאששה .",5.0,dana,annotated,"עדות עם בעיות (אמינה אבל או אמינה אבל מעוררת תמיהות וספקות, אמינה אבל עדות יחידה לא מספקת) - אמינה אבל יש פגמים ולכן ההכרעה היא כנגד המתלוננ.ת",,768.0,770.0,No,"נוכח סיטואציה ראייתית זו מתבקשת המסקנה, כי לא די בעדותה היחידה של המתלוננת, לבדה, כדי לבסס הרשעה ונדרשת מידה מסוימת של חיזוק חיצוני כדי לאששה"
637218758,,ME-09-1010-27,,,dana,annotated,"עדות עם בעיות (אמינה אבל או אמינה אבל מעוררת תמיהות וספקות, אמינה אבל עדות יחידה לא מספקת) - אמינה אבל יש פגמים ולכן ההכרעה היא כנגד המתלוננ.ת",,765.0,766.0,No,"לאחר שחזרתי ובחנתי את עדותה של המתלוננת הגעתי לכלל דעה, כי חלק מהסתירות הינן בבחינת ""סתירות לכאורה"", הנעוצות בטבע האנושי, וככאלה הן בנות הסבר, אך בה בעת ישנן כאלה שלא נמצא להן מענה מספק והן אינן ניתנות לריפוי"
1754198,ראשית,ME-13-05-3045-11,"ליבת גירסה של היא של ה מתלוננת ב עדות של היא ה ראשית לגבי מה ש עשה ל היא ה נאשם , לא עורערה ב בית ה משפט ב חקירה של היא ה נגדית , ו נותרה עקבית ל עדות של היא ה ראשית : 39 .",13.0,dana,annotated,not relevant,,527.0,528.0,No,כל כך הרבה זמן וכל כך פרטי פרטים אני לא חושבת שהייתי יכולה להמציא דבר כזה
1081026,יחידה,s002412,גם אילו לא היו ראיות סיוע אלה בפני הייתי מסתפקת ב עדות של היא ה יחידה של ה מתלוננת ו קובעת את אחריות של הוא של ה נאשם .,5.0,dana,annotated,not relevant,,498.0,499.0,No,גם אילו לא היו ראיות סיוע אלה בפני הייתי מסתפקת בעדותה היחידה של המתלוננת וקובעת את אחריותו של הנאשם
389187,מפורטת,ME-13-07-36795-33,"אכן , ב הודעה של היא ב ה משטרה מסרה ה מתלוננת גרסה מפורטת יותר , אך ה פרטים ש נמסרו ב גרסה זו אינם מהווים את ליבת ה אירועים ה מבססים את ה עבירות ב הן הורשע ה מערער , אלא רק את ה מסגרת ש מסביב .",8.0,dana,annotated,not relevant,,974.0,975.0,No,"אכן, בהודעתה במשטרה מסרה המתלוננת גרסה מפורטת יותר, אך הפרטים שנמסרו בגרסה זו אינם מהווים את ליבת האירועים המבססים את העבירות בהן הורשע המערער, אלא רק את המסגרת שמסביב"
