sentence_id,context_0_2,labels
343108,"עדותה של המתלוננת כפי שנמסרה בפנינו מפיה על דוכן העדים וכלל התנהלותה במהלך החקירה ולקראת העדות בבית המשפט, לא הייתה נקייה מקשיים. אותם קשיים מחייבים לנהוג זהירות בבחינת משקל עדותה. הסנגור בחקירתה הנגדית של המתלוננת, באמצעות עד ההגנה רס""ב איתי סופר, במסגרת חקירתה הנגדית של חוקרת המשטרה רס""ב אלונה אחיטוב ובאמצעות נ/11 וראיות נוספות, הצביע על כך שביום 12.10.2009 לאחר הגשת כתב האישום, התייצבה העדה במשטרה ומסרה גרסה, לפיה כל תלונתה נגד הנאשם הינה תלונת שווא ועלילה.",5
343108,"במקרה דנן, גם אם שיקר הנאשם בכך שהכחיש בחקירתו כל מעשה אלימות מלבד האירוע מושא האישום העשירי, אפשר כי הדבר נועד למנוע את הסתבכותו בעבירות שלא ביצע, קרי במסכת הקשה של עבירות אינוס, אלימות וכליאת שווא, כנטען בגרסתה המאוחרת של המתלוננת בחקירה. אמנם, כידוע, שקרי נאשם יכולים לחזק את ראיות התביעה, ולהוות התנהגות מפלילה (ראו למשל:  סיבוני נ' מדינת ישראל, פדאור 03(1) 10, 11;  אלבויראת נ' מדינת ישראל, דינים עליון סו 624, בפסקה 9; זאת ועוד, שקרי נאשם יכולים אף להגיע כדי ראיית סיוע, מקום שנדרש סיוע, אם הם עומדים בתנאים אחדים שנקבעו בפסיקה: השקרים הם בעניינים מהותיים; השקרים הם ברורים וחד-משמעיים; השקרים מוכחים מתוך עדויות אחרות; השקרים נעשו בזדון ועל מנת להעלים את האמת מבית המשפט; ומקורם בתחושת אשם והם אינם נובעים מעילה שאינה רלוונטית לצורך בחינת האשמה (ראו: (2) 203, 221-219; (1) 113, 141-140;  (1) 736, 802; (2) 259, 265)). אולם, יש לנקוט משנה זהירות קודם שמייחסים משמעות ראייתית לשקרים של נאשם.",2
239327323,"עדותו של מתלונן 5 אינה מגבשת ממצא עובדתי ברור ומוחלט באשר למספר הפעמים בגדרן ביצע בו הנאשם את המעשים דנן, לרבות מועדם. עם זאת, עדותו של מתלונן 5 אינה מותירה מקום לספק, כי מדובר למצער בשני אירועים ולא באירוע בודד, וכי הללו הותירו בו תחושה חריפה של חנק וגועל, עליה חזר לכל אורך עדותו, והיא שהובילה אותו לבסוף להגיש במשטרה את התלונה כנגד הנאשם (עמ' 78). בחקירה נגדית לא שינה מתלונן 5 מאומה מגרסתו המפורטת, ומאמציו של הסנגור להטיל דופי במהימנותו בשל מוגבלותו השכלית לא צלחו.",5
239327323,"גרסתה המיידית של המתלוננת תואמת את עדותה, ובעת שמסרה את תלונתה המיידית לא ידעה כי שיחתה הוקלטה. 68.	חיזוק נוסף לגרסת המתלוננת מצוי בסערת הנפש הקשה שבה היתה נתונה, הן כעולה משמיעת הקלטת ת/24, הן מהתנהגותה כפי שנצפתה בידי ארבעת הבחורים שהזדמנו למקום, הן משיחתה עם המוקדנית, לאחר שד""ק התקשר למשטרה, והן מהתנהגותה בעת שמסרה הודעה לקרן טובי (ת/19). פחדה של המתלוננת מהנאשם עולה גם מהזכ""דים שנכתבו והמתארים את הניסיונות לערוך עימות בין הנאשם למתלוננת (זכ""ד של אריה הדר, ת/16; העימות ת/8; הזכ""ד של ליטל עייש, ת/21; זכ""ד של שני ארזדה דכטר, ת/22).",1
304874,"זאת ועוד, המדובר בעדות כבושה וכאמור למתלוננת אין הסברים לכבישת עדותה, הן ביחס לאירוע זה והן ביחס לאירועים האחרים. כל שטענה המאשימה בסיכומיה בעניין כבישת העדות, הוא בגדר הנחות ואפשרויות שהמאשימה העלתה ביוזמתה, כדי להסביר את כבישת עדות המתלוננת, הסברים שאינם יכולים להוות הסברי המתלוננת – לעניין כבישת העדות ובמיוחד עדות קורבן עבירות מין ראו (1) 302 בעמ' 381-382 (1993),  כץ נ' מדינת ישראל (ניתן ביום 12.10.09),  טוכלי נ' מדינת ישראל (ניתן ביום 20.02.08),  פלוני נ' מדינת ישראל (ניתן ביום 03.09.09), (1) עמ' 225, 284 (1983),  פלוני נגד מדינת ישראל (ניתן ביום 29.11.07),  פלוני נ' מדינת ישראל (ניתן ביום 09.09.09),  פלוני נ' מדינת ישראל (ניתן ביום 05.02.04),  פלוני נ' מדינת ישראל (ניתן ביום 19.09.05),  טובולוב נ' מדינת ישראל (ניתן ביום 22.03.00), (1) עמ' 684 (1999) ומאמרה של אורלי פישמן ""עבירות מין בשנים 2006 – 1996: נתונים סקירת תקופות ההתיישנות בהן וסוגיית השיהוי בדיווח עליהן"" – הכנסת – מרכז המחקר והמידע. כמי ששמע את הראיות וראה את העדים שהעידו בפנינו, לא אוכל לומר בלב שלם ובביטחון הדרוש במשפט פלילי, כי ניתן לבסס הרשעה בדין על פי עדות המתלוננת.",2
404466,"27.	כבר בפתח דבר ראוי לציין, כי – ולהבדיל מעדותה ביחס לאירועים נשוא האישום הראשון והשני – עדותה הראשית (הראשונה) של המתלוננת, ביחס לאירועים נשוא האישום השלישי, בו קא עסקינן עתה, לא היתה סדורה, כולי האי, במובן זה שבה, בלבד, לא היה כדי לבסס את כל המעשים המיוחסים לנאשם באישום זה. אולם, התרשמותי שלי היתה, ועודנה, כי הדבר נבע מתוך יחס  אמיבוולנטי של המתלוננת כלפי הנאשם – אם כי עדיין במידה פחותה מזו, שבאה לידי ביטוי מאוחר יותר, כאשר ביקשה לשוב לדוכן העדים, בשנית ובשלישית – ואשר יסודו במצב בו היתה קרועה בין שני עולמות, כשמחד, עדיין היתה חדורה בטראומה מהמעשים שבוצעו בה, לטענתה, על ידי הנאשם, הן במהלך התקופה הארוכה נשוא האישום הראשון והן באותו לילה נשוא האישום השלישי, שהיווה אך המשך של אותה תקופה ממושכת נשוא האישום הראשון; ומאידך, עמדה בפני שוקת שבורה, נוכח היותה בודדה בארץ יחד עם ביתה, וניכר, על כן, כי לאחר תקופה של מספר חודשים מאז נעצר הנאשם ועד מסירת העדות הראשונה בפנינו, כעסה על הנאשם פג במידה מסוימת, משסברה – אליבא דידה – כי הנאשם נענש דיו, וכעס זה פינה את מקומו לדאגה לגורלה שלה ושל הילדה, בעיקר, ולפיכך לא ששה לפרט את כל אשר היה על ליבה ביחס להתרחשויות באותו לילה נשוא אישום זה, והסתפקה במילים מועטות, כפי שנראה להלן, וזאת – כך התרשמתי – במיוחד, משסבורה היתה המתלוננת כי די במה שסיפרה אודות התקופה נשוא האישום הראשון ואודות האירוע נשוא האישום השני – אליהם התייחסה בהרחבה. ואכן, מסקנתי זו מתחזקת נוכח העובדה שדווקא בחקירתה הנגדית – שבה, ומטבע הדברים, ביקש הסניגור לערער את מהימנותה – נפתחה המתלוננת והוסיפה וסיפרה  את שנמנעה מלספר בעדותה הראשית ביחס לאישום השלישי הנדון, וכמי שמבקשת לומר לסניגור: עד עתה נמנעתי מלספר את כל מה שהיה באמת, באירוע זה, אבל עכשיו כשאתה מבקש להטיל ספק במהימנותי, כי אז אינך מותיר בידי ברירה אלא לספר את הכל.",2
977739027,"לא מצאתי כי יש בנקודה זו לכשעצמה, במכלול העדות הארוכה והמפורטת של המתלוננת, אשר כללה פרטים רבים ביותר אודות חלקי אירועים, כדי לפגום במהימנותה של העדות. עוד נטען כי תחילה טענה המתלוננת כי הנאשם ""ירק"" עליה ולאחר מכן הסבירה כי אין המדובר ב""יריקה"" פיזית אלא במכלול עלבונות ופגיעות. לא מצאתי כי יש בכך משום סתירה מהותית.",3
257350,"שתיים הן השאלות שעלינו להכריע בהן; האם גירסת המתלוננת מהימנה, ובמידה והתשובה לכך חיובית, האם יש להרשיע את שלושת הנאשמים בעבירות בהן הואשמו, או שמא רק את חלקם? 2.	עובדות כתב האישום א.",5
768639,"12. 	מבחינת העדויות ניתן ללמוד כי מלבד העובדה שהמתלוננת הותירה רושם אמין, ולא חזרה בה מגירסתה לגבי ההתרחשויות ולגבי מה שאירע בינה לבין הנאשם, היא גם לא הגזימה ולא העצימה את הפרטים ודבקה בגירסתה כפי שהיא לכל אורך הדרך. בנוסף, נתמכת גירסת המתלוננת בדברי העדים אכרם וניר פלה, אשר פגשו בה סמוך לאחר שיצאה מחדרו של הנאשם, ושניהם שמעו מפיה על כך שהנאשם החזיק בכתפיה ונישק אותה על צווארה, ושניהם התרשמו שהתנהגותה היתה שונה מהרגיל, וחזותה העידה כי אירע דבר מה יוצא דופן אשר הותיר את השפעתו עליה. שני העדים אכרם וניר, ראו גם את מעשיו של הנאשם במטבח החנות, עת הצמיד את ראשה של המתלוננת אל בטנו, באופן המהווה תמיכה נוספת לגירסתה.",1
141748,"בניגוד לעדותו של הנאשם, עדותה של המתלוננת היתה עיקבית והיא תיארה את מערכת היחסים עם הנאשם באופן ברור, הגם שהודתה כי הוא לא פעל נגד רצונה, וכי היתה זקוקה לתמיכתו ולקשר עמו מבחינה נפשית. המתלוננת באופן ראוי להערכה הציגה עצמה בביהמ""ש במערומיה, דהיינו על כל בעיותיה תכונותיה ועברה. היא לא העצימה את הסיטואציות, לא החסירה והיתה גלויה וכנה לאורך כל הדרך.",3
