sentence_id,title,query number,clean_sentence,status,tagger,label,label2,start_ind,end_ind,query_number
500260,s02003519-47,5.0,"לאחר ששמעתי וראיתי את המתלוננות בעת מתן עדותן ואת עדותם של עדי התביעה וההגנה  התומכים בדברי הנאשם, ובחנתי את כל הראיות שהציגו התביעה וההגנה, הגעתי למסקנה כי אין בפני כל דבר התומך בגירסתן היחידה של המתלוננות אשר יכול כדי לענות על חובת ההנמקה, וזאת בנוסף לעדות המתלוננות שהיתה עדות כבושה ועם סתירות מהותיות",annotated,כרמית,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,,257.0,258.0,
274598,s013125a,15.0,"המתלוננת היתה עדה אמינה, לא הגזימה בעדותה ולא הוסיפה פרטים גם במקום שפרטים כאלה יכלו לתמוך בגירסתה ולחזקה",annotated,כרמית,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),,176.0,183.0,
880915261,s013125a,,"אין לי כל ספק שהמתלוננת העידה עדות אמת ומסרה בעדותה את הדברים כפי שהם נראים מנקודת מבטה, כפי שהיו על פי התרשמותה וכפי שזכרה אותם",annotated,כרמית,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),,178.0,179.0,
769912,ME-15-11-34046-11,3.0," חוקרת הילדים התרשמה, בזמן החקירה, כי גרסת המתלוננת מהימנה, וכי חוותה את שסיפרה",annotated,כרמית,אמינה עם בעיות (אולי לחבר לקטגוריה שלמעלה),,881.0,886.0,
309869270,ME-15-11-34046-11,,"ההבדלים בין הגרסאות שמסרה לחוקרת הילדים לבין הגרסה עליה העידה בחקירת המשטרה בשנת 2015 ובעדות בבית המשפט, אינם פוגעים במהימנות הגרסה",annotated,כרמית,אמינה עם בעיות (אולי לחבר לקטגוריה שלמעלה),,882.0,883.0,
132300,SH-10-1098-39,7.0," אמנם היו סתירות באשר למשך הזמן שחלף מהאירוע הראשון לאירוע השני ואולם לטעמי אין בהם כדי להביא למסקנה שעדות המתלונן, שכאמור בעיקרי הדברים חזרה על עצמה, אינה נכונה",annotated,כרמית,אמינה עם בעיות (אולי לחבר לקטגוריה שלמעלה),,56.0,60.0,
387626,ME-13-12-18407-932,1.0,"לטענת התביעה, עדותה של המתלוננת מהימנה, היא לא ניסתה להפריז ולהשחיר את פניו של הנאשם",annotated,כרמית,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),,111.0,112.0,
789408,M995169,5.0,"  אמנם אין ראיה שהדוקרן הוא של הנאשם, אולם מציאת הדוקרן בתא- זמן קצר לאחר האירוע, מגבירה את האמון בגרסתו הכללית של המתלונן",annotated,כרמית,not relevant,,155.0,156.0,
548474,m02001238,5.0," לעומת גירסתה האמינה, המהימנה והבלתי נסתרת של המתלוננת, אשר קיבלה סיוע, חיזוק ואימות מכל הראיות הנוספות כאמור לעיל, הרושם העולה מגרסאותיו של הנאשם, מעדותו בבית-המשפט ומהתנהגותו במהלך הדיונים הוא שלילי ובלתי אמין",annotated,כרמית,אמינה בגלל חיזוקים חיצוניים, רושם אמין של המתלוננת לעומת הנאשם,1404.0,1405.0,
649088,ME-09-650-116,1.0," עדותו של מתלונן ב' בפני חוקר הילדים הייתה עקבית, רציפה וסדורה, וניתן להתרשם כי הלה אכן חווה את האירועים על גופו ולא בדה אותם מליבו",annotated,כרמית,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),,802.0,804.0,
