sentence_id,title,query number,clean_sentence,status,tagger,label,label2,start_ind,end_ind,query_number
500260,s02003519-47,5.0,"לאחר ששמעתי וראיתי את המתלוננות בעת מתן עדותן ואת עדותם של עדי התביעה וההגנה  התומכים בדברי הנאשם, ובחנתי את כל הראיות שהציגו התביעה וההגנה, הגעתי למסקנה כי אין בפני כל דבר התומך בגירסתן היחידה של המתלוננות אשר יכול כדי לענות על חובת ההנמקה, וזאת בנוסף לעדות המתלוננות שהיתה עדות כבושה ועם סתירות מהותיות",annotated,מיה,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,,257.0,258.0,
274598,s013125a,15.0,"המתלוננת היתה עדה אמינה, לא הגזימה בעדותה ולא הוסיפה פרטים גם במקום שפרטים כאלה יכלו לתמוך בגירסתה ולחזקה",annotated,מיה,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),,179.0,180.0,
769912,ME-15-11-34046-11,3.0," חוקרת הילדים התרשמה, בזמן החקירה, כי גרסת המתלוננת מהימנה, וכי חוותה את שסיפרה",annotated,מיה,not relevant,,881.0,882.0,
132300,SH-10-1098-39,7.0," אמנם היו סתירות באשר למשך הזמן שחלף מהאירוע הראשון לאירוע השני ואולם לטעמי אין בהם כדי להביא למסקנה שעדות המתלונן, שכאמור בעיקרי הדברים חזרה על עצמה, אינה נכונה",annotated,מיה,אמינה עם בעיות (אולי לחבר לקטגוריה שלמעלה),,56.0,57.0,
387626,ME-13-12-18407-932,1.0,"לטענת התביעה, עדותה של המתלוננת מהימנה, היא לא ניסתה להפריז ולהשחיר את פניו של הנאשם",annotated,מיה,not relevant,,111.0,112.0,
789408,M995169,5.0,"  אמנם אין ראיה שהדוקרן הוא של הנאשם, אולם מציאת הדוקרן בתא- זמן קצר לאחר האירוע, מגבירה את האמון בגרסתו הכללית של המתלונן",annotated,מיה,אמינה בגלל חיזוקים חיצוניים,,150.0,156.0,
114298961,M995169,,19,annotated,מיה,not relevant,,150.0,151.0,
548474,m02001238,5.0," לעומת גירסתה האמינה, המהימנה והבלתי נסתרת של המתלוננת, אשר קיבלה סיוע, חיזוק ואימות מכל הראיות הנוספות כאמור לעיל, הרושם העולה מגרסאותיו של הנאשם, מעדותו בבית-המשפט ומהתנהגותו במהלך הדיונים הוא שלילי ובלתי אמין",annotated,מיה, רושם אמין של המתלוננת לעומת הנאשם,,1404.0,1405.0,
649088,ME-09-650-116,1.0," עדותו של מתלונן ב' בפני חוקר הילדים הייתה עקבית, רציפה וסדורה, וניתן להתרשם כי הלה אכן חווה את האירועים על גופו ולא בדה אותם מליבו",annotated,מיה,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),,802.0,803.0,
667053,m04000750-705,7.0," גרסת המתלוננת לפיה הנאשם חדר לביתה באישון לילה מבעד לחלון, והתרחשות האירועים עליהם העידה, מקובלת עליי כתיאור נכון ותואם למציאות",annotated,מיה,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),,463.0,467.0,
585434,4787475,1.0," הגירסה של המתלוננת קוהרנטית, הגיונית, עקבית ומשתלבת היטב עם עדויות וראיות למכביר",annotated,מיה,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),,121.0,122.0,
305057,ME-08-1157-524,12.0,"מכל מקום, וזה החשוב, מצפייה בחקירה המתועדת אין לי ספק, כי גרסתה המפלילה של המתלוננת כפי שנמסרה משקפת בצורה נכונה את מה שארע במציאות בינה לבין הנאשם",annotated,מיה,אמינה בגלל חיזוקים חיצוניים,,342.0,343.0,
305210,ME-08-1157-524,5.0," עפ""י  לפקודה – אם ההרשעה היא על סמך עדותה היחידה של המתלוננת – ""בית המשפט יפרט בהכרעת הדין מה הניע אותו להסתפק בעדות זו",annotated,מיה,not relevant,,462.0,463.0,
108031,SH-09-5632-185,5.0,עדותה המהימנה של המתלוננת,annotated,מיה,not relevant,,122.0,123.0,
143161966,SH-09-5632-185,,"13.	לאמור לעיל יש להוסיף את מוטיב מיידיות התלונה, שאף בו יש כדי לחזק את המסקנה כי מדובר בתלונה אותנטית",annotated,מיה,אמינה בגלל חיזוקים חיצוניים,,131.0,132.0,
742823961,SH-09-5632-185,,"יתרה מכך, למתלוננת לא רק שאין אינטרס בהגשת תלונת שווא, אלא מדובר במתלוננת אשר ניתן להניח כי מודעת לקשיים הנילווים להגשת תלונה במשטרה, הן בחשיפתה לחקירת משטרה, והן בעיבוד המקרה בבית המשפט",annotated,מיה,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),,130.0,131.0,
653720927,SH-09-5632-185,,"12.	בניגוד למקרים בהם מתבררת תלונה שהוגשה על רקע סכסוך קיים (רכושי או אחר) הרי בענייננו, אין חולק כי המתלוננת נעדרת כל אינטרס אשר יהיה בו כדי להסביר את תיזת ההפללה",annotated,מיה,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),,129.0,130.0,
510822857,SH-09-5632-185,,"התרשמתי כי המתלוננת בעלת גישה מפוכחת ומציאותית ואינה רואה, בהקשר של מגע גופני, צל הרים כהרים",annotated,מיה,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),,128.0,129.0,
364075694,SH-09-5632-185,,"אמנם, ברור כי עוצמת הפגיעה הושפעה מהיותה של המתלוננת קורבן לתקיפה מינית בהיותה ילדה, כפי שהעידה המתלוננת בכנות ובפתיחות (ראה פרו' עמ' 18 ש' 1), אך המתלוננת דחתה, באופן ברור ואמין לטעמי, את תיזת ""הגולגולת הדקה"" אשר ניסתה לקשור בין היותה קורבן לתקיפה מינית בעבר, לבין האופן בו תיארה את נגיעת הנאשם (""אני עברתי טראומות בילדות שלי ובמהלך החיים שלי",annotated,מיה,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),,126.0,127.0,
631853363,SH-09-5632-185,,"המתלוננת לא ניסתה להגזים או להעצים את תיאוריה באשר למעשה, ועלבונה ניכר עת שהעידה",annotated,מיה,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),,125.0,126.0,
210860,k26398p,3.0,"מסקנת ביניים: לאור המובא לעיל, ומשמצאתי כי גירסת  המתלוננת אמינה, ומשראיתי כי מצבה הנפשי, אף אם באיחור, היה הבעה כנה של מצוקה וטראומה שבה שרויה המתלוננת כתוצאה מהחוויות הקשות שחוותה עם הנאשם, הגעתי למסקנה כי התביעה הצליחה להוכיח מעל לספק סביר, כי הנאשם עבר את עבירות המין והאיומים שמיוחסות לו בכתב האישום",annotated,מיה,אמינה בגלל חיזוקים חיצוניים,,277.0,278.0,
336195,ME-09-09-9012-283,5.0,"בהיות עדות המתלוננת עדות יחידה, כרסום זה מתווסף לתהיות שעלו בעדותה לגבי נ/5, ואלה הביאו אותי למסקנה שלא ניתן לבסס ממצאים מרשיעים על יסוד עדותה היחידה של המתלוננת לגבי העבירות המיוחסות לנאשם 2",annotated,מיה,"""אמינה אבל""- העדה אמינה אבל אי אפשר להרשיע. מגוון סיבות (הרבה פעמים עדות יחידה)",,571.0,572.0,
