sentence_id,title,query number,clean_sentence,status
6178,ME-16-11-9004-33,1.0," עדותה של המתלוננת אמינה כפליים, משכנעת ארבעתיים ומסתברת שבעתיים",not annotated
7658,ME-08-1045-33,1.0," התרשמתי כי עדותה של המתלוננת הייתה עקבית, בוטחת, רהוטה ומהימנה",not annotated
9670,SH-10-11-34300-792,1.0," לכך מתווסף החשש כי עדותה הראשונית של המתלוננת אינה נקייה מזיהומים שונים זאת ניתן ללמוד מכך שהמתלוננת נמצאה על ידי אחותה בביתו של הנאשם, וככל הנראה עקב צעקותיה של אחותה, למדה המתלוננת מיד כי מה שארע הינו פסול ואסור ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה",not annotated
19235,m06003021,1.0," ניתן היה להתרשם כי עדותה של המתלוננת לגבי עיקרי הדברים הייתה עקבית, וגם כאשר נעשו ניסיונות ""לבלבל"" אותה, חזרה בעקשנות ובביטחון על הגרסה",not annotated
20705,m00330,1.0," גם עדותה של המתלוננת ת', הנוגעת אמנם בעיקרה לאירוע הראשון בו הודה הנאשם בשלב הסיכומים, הנה רלוונטית בסופו של דבר גם למחלוקת שנותרה",not annotated
28593,SH-10-01-40299-583,1.0,"כפי שציינתי לעיל, עדותה של המתלוננת היתה עניינית וקוהרנטית ואפילו אניח כי אכן נטלה תרופות עובר למתן עדותה  אזי, לא מצאתי כי היה בכך כדי לפגום באותה עדות או בכושר העדתה של המתלוננת",not annotated
30217,m001062,1.0,"עדותה של המתלוננת בפני חוקרת הנוער אכן מבולבלת מעט וחסרת רצף, אך יחד עם זאת הקפידה המתלוננת לחזור על עיקרי דבריה בכל הזדמנות",not annotated
30218,m001062,1.0," אמינה עלי, כמפורט לעיל, ואני מאמצת דבריה בפני חוקרת הנוער, כמשלימים את עדותה בביהמ""ש",not annotated
30693,m001062,1.0,"זאת ועוד, כפי שנאמר לעיל עדויותיהן של המתלוננות ע",not annotated
34309,m04001134,1.0,"כאמור, עדותה של המתלוננת ר",not annotated
53240,s03001809-358,1.0, עדותה של המתלוננת בבית המשפט היתה ארוכה ומפורטת והתייחסה לכל העובדות נשוא כתב האישום,not annotated
57875,ME-11-06-2965-391,1.0,"לטענת ב""כ הנאשם, כתב האישום שהוגש נגד מרשו מבוסס רובו ככולו על עדותה של המתלוננת עצמה, וכפי שכבר עולה מתיאור עדותה לעיל, עדות זו של המתלוננת חלשה במיוחד, רצופה שקרים, ואינה ראויה למשקל הדרוש כדי להרשיע אדם בפלילים",not annotated
57988,ME-11-06-2965-391,1.0,"גרסה שקרית זו של המתלוננת היא משמעותית ביותר, מאחר שהעבר המשותף שלה ושל הנאשם בוודאי מקרין לא רק על מידת המהימנות שיש ליחס למתלוננת באופן כללי, אלא אף על מידת המהימנות שיש ליחס לגרסתו של הנאשם שהשניים התחבקו והתנשקו וזרמו לקראת יחסים אינטימיים גם בליל האירוע נשוא כתב האישום",not annotated
58037,ME-11-06-2965-391,1.0," כאמור לעיל, מקובלת עלי גרסתה של המתלוננת כי לא הסכימה כלל לנסוע עם הנאשם ולעזוב את אולם גוטניק ללא אחותה וללא מוראד, וכי הנאשם נעל עליה את דלתות הרכב, ואף מנע ממנה מלשוחח עם אלה שהתקשרו אליה, כשברצונה להודיע איפה נמצאת ומה מצבה",not annotated
59270,SH-09-2064-831,1.0,עדותה של המתלוננת נטיה ללצאשווילי הייתה אמינה מאד,not annotated
62184,ME-09-1063-277,1.0," עדותה של המתלוננת כפי שנמסרה בפנינו מפיה על דוכן העדים וכלל התנהלותה במהלך החקירה ולקראת העדות בבית המשפט, לא הייתה נקייה מקשיים",not annotated
72575,SH-09-01-10212-129,1.0," לטענת ב""כ הנאשם עדותה של המתלוננת הייתה רצופה בסתירות",not annotated
73396,m03001200,1.0, שהרי עדותה של המתלוננת עקבית היא לאורך כל הדרך,not annotated
77018,m03001164,1.0,"את מסקנתה כי גירסתה של המתלוננת מהימנה היא וכי חוותה על גופה את אשר תיארה בפניה, ביססה חוקרת-הילדים, כך העידה, על ה""פאזל"" שנבנה על-יסוד ניתוח חקירתה של המתלוננת, לאחר עיון נוסף בתִּמְלוּל וּצפייה בקלטת החקירה",not annotated
