sentence_id,title,query number,clean_sentence,status,tagger,label,label2,start_ind,end_ind,query_number
500260,s02003519-47,5.0,"לאחר ששמעתי וראיתי את המתלוננות בעת מתן עדותן ואת עדותם של עדי התביעה וההגנה  התומכים בדברי הנאשם, ובחנתי את כל הראיות שהציגו התביעה וההגנה, הגעתי למסקנה כי אין בפני כל דבר התומך בגירסתן היחידה של המתלוננות אשר יכול כדי לענות על חובת ההנמקה, וזאת בנוסף לעדות המתלוננות שהיתה עדות כבושה ועם סתירות מהותיות",annotated,דניאל,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,,257.0,258.0,
274598,s013125a,15.0,"המתלוננת היתה עדה אמינה, לא הגזימה בעדותה ולא הוסיפה פרטים גם במקום שפרטים כאלה יכלו לתמוך בגירסתה ולחזקה",annotated,דניאל,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),,179.0,180.0,
769912,ME-15-11-34046-11,3.0," חוקרת הילדים התרשמה, בזמן החקירה, כי גרסת המתלוננת מהימנה, וכי חוותה את שסיפרה",annotated,דניאל,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),,881.0,884.0,
132300,SH-10-1098-39,7.0," אמנם היו סתירות באשר למשך הזמן שחלף מהאירוע הראשון לאירוע השני ואולם לטעמי אין בהם כדי להביא למסקנה שעדות המתלונן, שכאמור בעיקרי הדברים חזרה על עצמה, אינה נכונה",annotated,דניאל,אמינה עם בעיות (אולי לחבר לקטגוריה שלמעלה),,55.0,57.0,
387626,ME-13-12-18407-932,1.0,"לטענת התביעה, עדותה של המתלוננת מהימנה, היא לא ניסתה להפריז ולהשחיר את פניו של הנאשם",annotated,דניאל,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),,111.0,112.0,
789408,M995169,5.0,"  אמנם אין ראיה שהדוקרן הוא של הנאשם, אולם מציאת הדוקרן בתא- זמן קצר לאחר האירוע, מגבירה את האמון בגרסתו הכללית של המתלונן",annotated,דניאל,not relevant,,155.0,160.0,
548474,m02001238,5.0," לעומת גירסתה האמינה, המהימנה והבלתי נסתרת של המתלוננת, אשר קיבלה סיוע, חיזוק ואימות מכל הראיות הנוספות כאמור לעיל, הרושם העולה מגרסאותיו של הנאשם, מעדותו בבית-המשפט ומהתנהגותו במהלך הדיונים הוא שלילי ובלתי אמין",annotated,דניאל, רושם אמין של המתלוננת לעומת הנאשם,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),1404.0,1405.0,
649088,ME-09-650-116,1.0," עדותו של מתלונן ב' בפני חוקר הילדים הייתה עקבית, רציפה וסדורה, וניתן להתרשם כי הלה אכן חווה את האירועים על גופו ולא בדה אותם מליבו",annotated,דניאל,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),,802.0,803.0,
667053,m04000750-705,7.0," גרסת המתלוננת לפיה הנאשם חדר לביתה באישון לילה מבעד לחלון, והתרחשות האירועים עליהם העידה, מקובלת עליי כתיאור נכון ותואם למציאות",annotated,דניאל,not relevant,,460.0,464.0,
585434,4787475,1.0," הגירסה של המתלוננת קוהרנטית, הגיונית, עקבית ומשתלבת היטב עם עדויות וראיות למכביר",annotated,דניאל,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),אמינה בגלל חיזוקים חיצוניים,121.0,122.0,
