sentence_id,title,query number,clean_sentence,status,tagger,label,start_ind,end_ind,label2
500260,s02003519-47,5,"לאחר ששמעתי וראיתי את המתלוננות בעת מתן עדותן ואת עדותם של עדי התביעה וההגנה  התומכים בדברי הנאשם, ובחנתי את כל הראיות שהציגו התביעה וההגנה, הגעתי למסקנה כי אין בפני כל דבר התומך בגירסתן היחידה של המתלוננות אשר יכול כדי לענות על חובת ההנמקה, וזאת בנוסף לעדות המתלוננות שהיתה עדות כבושה ועם סתירות מהותיות",annotated,איתי,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,257.0,258.0,
274598,s013125a,15,"המתלוננת היתה עדה אמינה, לא הגזימה בעדותה ולא הוסיפה פרטים גם במקום שפרטים כאלה יכלו לתמוך בגירסתה ולחזקה",annotated,איתי,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,179.0,180.0,
769912,ME-15-11-34046-11,3," חוקרת הילדים התרשמה, בזמן החקירה, כי גרסת המתלוננת מהימנה, וכי חוותה את שסיפרה",annotated,איתי,not relevant,881.0,882.0,
132300,SH-10-1098-39,7," אמנם היו סתירות באשר למשך הזמן שחלף מהאירוע הראשון לאירוע השני ואולם לטעמי אין בהם כדי להביא למסקנה שעדות המתלונן, שכאמור בעיקרי הדברים חזרה על עצמה, אינה נכונה",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),56.0,59.0,
387626,ME-13-12-18407-932,1,"לטענת התביעה, עדותה של המתלוננת מהימנה, היא לא ניסתה להפריז ולהשחיר את פניו של הנאשם",annotated,איתי,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),111.0,112.0,
789408,M995169,5,"  אמנם אין ראיה שהדוקרן הוא של הנאשם, אולם מציאת הדוקרן בתא- זמן קצר לאחר האירוע, מגבירה את האמון בגרסתו הכללית של המתלונן",annotated,איתי,אמינה בגלל חיזוקים חיצוניים,155.0,156.0,
548474,m02001238,5," לעומת גירסתה האמינה, המהימנה והבלתי נסתרת של המתלוננת, אשר קיבלה סיוע, חיזוק ואימות מכל הראיות הנוספות כאמור לעיל, הרושם העולה מגרסאותיו של הנאשם, מעדותו בבית-המשפט ומהתנהגותו במהלך הדיונים הוא שלילי ובלתי אמין",annotated,איתי, רושם אמין של המתלוננת לעומת הנאשם,1404.0,1405.0,אמינה בגלל חיזוקים חיצוניים
649088,ME-09-650-116,1," עדותו של מתלונן ב' בפני חוקר הילדים הייתה עקבית, רציפה וסדורה, וניתן להתרשם כי הלה אכן חווה את האירועים על גופו ולא בדה אותם מליבו",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),802.0,803.0,
667053,m04000750-705,7," גרסת המתלוננת לפיה הנאשם חדר לביתה באישון לילה מבעד לחלון, והתרחשות האירועים עליהם העידה, מקובלת עליי כתיאור נכון ותואם למציאות",annotated,איתי,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),463.0,467.0,
585434,4787475,1," הגירסה של המתלוננת קוהרנטית, הגיונית, עקבית ומשתלבת היטב עם עדויות וראיות למכביר",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),121.0,122.0,אמינה בגלל חיזוקים חיצוניים
