sentence_id,Someone,somewhere,title,article_link,Someone_first_index,Someone_last_index,somewhere_first_index,somewhere_last_index,sentence_text,paragraph_text,url,tagger,status,label,label2,start_ind,end_ind,mental_state
336991,William Lewis,the University of Colorado,William Lewis (tenor),https://en.wikipedia.org/wiki?curid=20288459,0,1,5,8,"William Lewis was educated at the University of Colorado , Texas Christian University and New York University .","William Lewis was educated at the University of Colorado, Texas Christian University and New York University. He began his career as a writer and an athlete before deciding to pursue a career in opera. He began his voice training under Karl Kritz and Arthur Faguy Coté in Fort Worth, followed by studies with Susan Seton and Hulda and Luigi Rossini in New York. In the summer of 1951 he attended the Music Academy of the West. He made his professional opera debut in 1953 with Fort Worth Opera as Rinuccio in Puccini's ""Gianni Schicchi"". Two years later he won the Metropolitan Opera's ""Audition of the Air"" competition (precursor to the National Council Auditions). Lewis made his debut at the Metropolitan Opera as Narraboth in ""Salome"" on March 1, 1958 and subsequently sang in 234 performances in his 35 years with the company. In 1975 he made his debut at San Francisco Opera as Steuermann and Erik in ""The Flying Dutchman"" and has sung in sixteen different productions with the company in subsequent seasons. In 1981 he made his debut at the Salzburg Festival in the title role of Offenbach's ""The Tales of Hoffmann"", returning there for the following four years in such roles as Arbace in ""Idomeneo"" and the First Geharnischter in ""The Magic Flute"". In 1990 he made his debut at the Teatro Lirico in the world premiere of Azio Corghi's ""Blimunda"".",https://en.wikipedia.org/wiki?curid=20288459,Tagger5,not annotated,,,,,
851651,Potts,Shrewsbury School,Henry Potts,https://en.wikipedia.org/wiki?curid=42598100,1,1,5,6,"
 Potts was educated at Shrewsbury School and Magdalene College , Cambridge .","He made his first-class debut in 1831 and appeared in one match as an unknown handedness batsman whose bowling style is unknown, playing for Cambridge University. He scored no runs with a highest score of 0 and took no wickets.  Potts was educated at Shrewsbury School and Magdalene College, Cambridge.",https://en.wikipedia.org/wiki?curid=42598100,Tagger5,not annotated,,,,,
594166,Leitch,correspondence,David Leitch (politician),https://en.wikipedia.org/wiki?curid=27933194,0,0,4,4,Leitch was educated by correspondence from All Saints College in Bathurst .,"Leitch was born in Leeton; his maternal grandfather was William Killen, a member of the Australian House of Representatives from 1922 to 1931. Leitch was educated by correspondence from All Saints College in Bathurst. He studied medicine at the University of Sydney and was subsequently appointed an honorary surgeon to the Armidale and New England Hospital. In 1942 he enlisted in the AIF; he was posted to New Guinea, where he fought the Japanese at Shaggy Ridge. After his return he returned to his medical practice.",https://en.wikipedia.org/wiki?curid=27933194,Tagger5,not annotated,,,,,
337537,Charles,the local schools of Marion and Linn counties,Charles A. Johns,https://en.wikipedia.org/wiki?curid=12061766,0,0,5,12,Charles was then educated in the local schools of Marion and Linn counties .,"Charles Johns was born to James McClellan Johns and Elizabeth Ann Darby Johns in Jackson County, Missouri. In 1858, the family immigrated to the Oregon Territory and settled in the Willamette Valley. Charles was then educated in the local schools of Marion and Linn counties. For college he attended Willamette University in Salem, where he graduated in 1878 with his Bachelor of Arts. He was admitted to the bar in 1881. The following year Johns married Mabel Ellis with whom he fathered three children. He would also have three children by his second wife Elizabeth Busch.",https://en.wikipedia.org/wiki?curid=12061766,Tagger5,not annotated,,,,,
202745,He,the University of Edinburgh,William Livingstone Watson,https://en.wikipedia.org/wiki?curid=53664988,0,0,4,7,He was educated at the University of Edinburgh and the University of Glasgow .,Watson was originally intended for a career in the church but turned instead to the law and thence to business. He was educated at the University of Edinburgh and the University of Glasgow.,https://en.wikipedia.org/wiki?curid=53664988,Tagger5,not annotated,,,,,
170412,She,Luntenzampa Middle Secondary School,Sonam Dechen Wangchuck (born 1981),https://en.wikipedia.org/wiki?curid=12557813,0,0,4,7,"She was educated at Luntenzampa Middle Secondary School and Yangchenphug Higher Secondary School , Choate Rosemary Hall , Wallingford , Connecticut .","She was educated at Luntenzampa Middle Secondary School and Yangchenphug Higher Secondary School, Choate Rosemary Hall, Wallingford, Connecticut.",https://en.wikipedia.org/wiki?curid=12557813,Tagger5,not annotated,,,,,
699198,Bayley,The King 's School,Hagan Bayley,https://en.wikipedia.org/wiki?curid=26020269,0,0,4,7,"Bayley was educated at The King 's School , Chester , Balliol College , Oxford and Harvard University , where he was awarded a PhD in 1979 .","Bayley was educated at The King's School, Chester, Balliol College, Oxford and Harvard University, where he was awarded a PhD in 1979.",https://en.wikipedia.org/wiki?curid=26020269,Tagger5,not annotated,,,,,
713937,Barton,the tenure of Walter Empson,Richard John Barton,https://en.wikipedia.org/wiki?curid=53656925,0,0,5,9,"Barton was educated here during the tenure of Walter Empson , an Oxford Alumni who became Headmaster .","With prosperous estates, Barton was educated at the Wanganui Collegiate School, a colonial boarding school established by Sir George Grey. Barton was educated here during the tenure of Walter Empson, an Oxford Alumni who became Headmaster.",https://en.wikipedia.org/wiki?curid=53656925,Tagger5,not annotated,,,,,
624572,He,Manningtree High School,Ben Howlett (politician),https://en.wikipedia.org/wiki?curid=46642754,0,0,4,6,"He was educated at Manningtree High School in Essex , then studied History and Politics at the University of Durham , and a Masters in Economic History at the University of Cambridge .","Ben Howlett was born on 21 August 1986. He was educated at Manningtree High School in Essex, then studied History and Politics at the University of Durham, and a Masters in Economic History at the University of Cambridge. He served as President of the Durham University Conservative Association in 2007. He lived in Little Oakley, which is on the outskirts of Harwich.",https://en.wikipedia.org/wiki?curid=46642754,Tagger5,not annotated,,,,,
806234,He,Harrison College,Gay Mandeville,https://en.wikipedia.org/wiki?curid=18938202,0,0,4,5,"He was educated at Harrison College and Codrington College , Barbados .","He was educated at Harrison College and Codrington College, Barbados. After graduation, he was ordained in 1918 and began his ecclesiastical career with a curacy at St George, St Kitts followed by the post of Rector of Saba in what was then the ""Dutch West Indies"" and is now Netherlands Antilles. He then returned to his home country where he was successively Vicar of ""St Bartholomew"" then ""St Stephen""; Rector of ""St Philip"" (1943–1950), Vicar General (1948–1951) and Dean (1950–1951) and finally Bishop of Barbados.",https://en.wikipedia.org/wiki?curid=18938202,Tagger5,not annotated,,,,,
